#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: SINR
#  Description: SINR [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -0.0005593
#  Maximum: 44.1451632
#  Trials: 12188
#  Mean: 19.8262176
# 
#  Variance: 173.4087097
#  Relative variance: 0.4411550
#  Coefficient of variation: 0.6641950
#  Standard deviation: 13.1684741
#  Relative standard deviation: 0.6641950
# 
#  Skewness: 0.3204289
# 
#  2nd moment: 566.4733879
#  3rd moment: 18838.2465014
# 
#  Sum of all values: 241641.9406518
#  (Sum of all values)^2: 6904177.6521622
#  (Sum of all values)^3: 229600548.3594561
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -10
#  Right border of x-axis: 60
#  Resolution of x-axis: 300
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.5695333
#  P02: 1.1256993
#  P03: 1.6867160
#  P04: 2.2935194
#  P05: 2.7992308
#  P06: 3.3123721
#  P07: 3.9081149
#  P08: 4.4463626
#  P09: 4.9452865
#  P10: 5.4025225
#  P11: 5.7827895
#  P12: 6.1481185
#  P13: 6.4522155
#  P14: 6.7080551
#  P15: 6.9505507
#  P16: 7.1446196
#  P17: 7.3057056
#  P18: 7.4500643
#  P19: 7.5911830
#  P20: 7.7305882
#  P21: 7.8832186
#  P22: 8.0207141
#  P23: 8.1397043
#  P24: 8.2649444
#  P25: 8.3966049
#  P26: 8.5328738
#  P27: 8.6711658
#  P28: 8.8170051
#  P29: 8.9658853
#  P30: 9.1187814
#  P31: 9.2892848
#  P32: 9.4532449
#  P33: 9.6111667
#  P34: 9.7804444
#  P35: 9.9532924
#  P36: 10.1383118
#  P37: 10.3465938
#  P38: 10.5671841
#  P39: 10.7827799
#  P40: 11.0447383
#  P41: 11.2906667
#  P42: 11.5732444
#  P43: 11.9130892
#  P44: 12.2103137
#  P45: 12.5872289
#  P46: 13.0044606
#  P47: 13.4161481
#  P48: 13.8949892
#  P49: 14.5783268
#  P50: 15.2739837
#  P51: 16.1228085
#  P52: 16.9585556
#  P53: 17.5887619
#  P54: 18.3202051
#  P55: 18.9577778
#  P56: 19.6088593
#  P57: 20.2795177
#  P58: 20.9493333
#  P59: 21.6730256
#  P60: 22.4167742
#  P61: 23.3583423
#  P62: 24.1498889
#  P63: 25.0158148
#  P64: 25.8683889
#  P65: 26.7266667
#  P66: 27.7102796
#  P67: 28.4791373
#  P68: 29.4476444
#  P69: 30.3194815
#  P70: 31.0764912
#  P71: 31.8310175
#  P72: 32.5908889
#  P73: 33.2896232
#  P74: 33.8815238
#  P75: 34.4804348
#  P76: 35.0376111
#  P77: 35.5137119
#  P78: 35.8946869
#  P79: 36.2783291
#  P80: 36.5792192
#  P81: 36.8153333
#  P82: 37.0316346
#  P83: 37.2282323
#  P84: 37.4092358
#  P85: 37.5826423
#  P86: 37.7895704
#  P87: 37.9635684
#  P88: 38.1162118
#  P89: 38.2491028
#  P90: 38.3881742
#  P91: 38.5310821
#  P92: 38.7263724
#  P93: 38.9581582
#  P94: 39.1850499
#  P95: 39.5219157
#  P96: 39.9388148
#  P97: 40.4544151
#  P98: 41.1552821
#  P99: 42.1467160
#  P100: 44.1451632
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
22.2000000          0.5976370       0.4023630       0.0040203   138
22.4333333          0.6001805       0.3998195       0.0025435   139
22.6666667          0.6023958       0.3976042       0.0022153   140
22.9000000          0.6052675       0.3947325       0.0028717   141
23.1333333          0.6070725       0.3929275       0.0018051   142
23.3666667          0.6101083       0.3898917       0.0030358   143
23.6000000          0.6125697       0.3874303       0.0024614   144
23.8333333          0.6156876       0.3843124       0.0031178   145
24.0666667          0.6192977       0.3807023       0.0036101   146
24.3000000          0.6212668       0.3787332       0.0019691   147
24.5333333          0.6252872       0.3747128       0.0040203   148
24.7666667          0.6278307       0.3721693       0.0025435   149
25.0000000          0.6297998       0.3702002       0.0019691   150
25.2333333          0.6327535       0.3672465       0.0029537   151
25.4666667          0.6354611       0.3645389       0.0027076   152
25.7000000          0.6385789       0.3614211       0.0031178   153
25.9333333          0.6405481       0.3594519       0.0019691   154
26.1666667          0.6428454       0.3571546       0.0022973   155
26.4000000          0.6458812       0.3541188       0.0030358   156
26.6333333          0.6487529       0.3512471       0.0028717   157
26.8666667          0.6518707       0.3481293       0.0031178   158
27.1000000          0.6537578       0.3462422       0.0018871   159
27.3333333          0.6565474       0.3434526       0.0027896   160
27.5666667          0.6584345       0.3415655       0.0018871   161
27.8000000          0.6609780       0.3390220       0.0025435   162
28.0333333          0.6640138       0.3359862       0.0030358   163
28.2666667          0.6674598       0.3325402       0.0034460   164
28.5000000          0.6702494       0.3297506       0.0027896   165
28.7333333          0.6721365       0.3278635       0.0018871   166
28.9666667          0.6752543       0.3247457       0.0031178   167
29.2000000          0.6771415       0.3228585       0.0018871   168
29.4333333          0.6798490       0.3201510       0.0027076   169
29.6666667          0.6823105       0.3176895       0.0024614   170
29.9000000          0.6851821       0.3148179       0.0028717   171
30.1333333          0.6876436       0.3123564       0.0024614   172
30.3666667          0.6905973       0.3094027       0.0029537   173
30.6000000          0.6928947       0.3071053       0.0022973   174
30.8333333          0.6962586       0.3037414       0.0033640   175
31.0666667          0.6998687       0.3001313       0.0036101   176
31.3000000          0.7029865       0.2970135       0.0031178   177
31.5333333          0.7062685       0.2937315       0.0032819   178
31.7666667          0.7091401       0.2908599       0.0028717   179
32.0000000          0.7122580       0.2877420       0.0031178   180
32.2333333          0.7153758       0.2846242       0.0031178   181
32.4666667          0.7181654       0.2818346       0.0027896   182
32.7000000          0.7216114       0.2783886       0.0034460   183
32.9333333          0.7247292       0.2752708       0.0031178   184
33.1666667          0.7280112       0.2719888       0.0032819   185
33.4000000          0.7317854       0.2682146       0.0037742   186
33.6333333          0.7366262       0.2633738       0.0048408   187
33.8666667          0.7397440       0.2602560       0.0031178   188
34.1000000          0.7437644       0.2562356       0.0040203   189
34.3333333          0.7476206       0.2523794       0.0038563   190
34.5666667          0.7513948       0.2486052       0.0037742   191
34.8000000          0.7547588       0.2452412       0.0033640   192
35.0333333          0.7599278       0.2400722       0.0051690   193
35.2666667          0.7638661       0.2361339       0.0039383   194
35.5000000          0.7696095       0.2303905       0.0057434   195
35.7333333          0.7762553       0.2237447       0.0066459   196
35.9666667          0.7816705       0.2183295       0.0054152   197
36.2000000          0.7878241       0.2121759       0.0061536   198
36.4333333          0.7943059       0.2056941       0.0064818   199
36.6666667          0.8034132       0.1965868       0.0091073   200
36.9000000          0.8137512       0.1862488       0.0103380   201
37.1333333          0.8248277       0.1751723       0.0110765   202
37.3666667          0.8375451       0.1624549       0.0127174   203
37.6000000          0.8510010       0.1489990       0.0134559   204
37.8333333          0.8620775       0.1379225       0.0110765   205
38.0666667          0.8762717       0.1237283       0.0141943   206
38.3000000          0.8938300       0.1061700       0.0175583   207
38.5333333          0.9101575       0.0898425       0.0163275   208
38.7666667          0.9220545       0.0779455       0.0118969   209
39.0000000          0.9317361       0.0682639       0.0096817   210
39.2333333          0.9421562       0.0578438       0.0104201   211
39.4666667          0.9483098       0.0516902       0.0061536   212
39.7000000          0.9554480       0.0445520       0.0071382   213
39.9333333          0.9598786       0.0401214       0.0044306   214
40.1666667          0.9650476       0.0349524       0.0051690   215
40.4000000          0.9689859       0.0310141       0.0039383   216
40.6333333          0.9733344       0.0266656       0.0043485   217
40.8666667          0.9766984       0.0233016       0.0033640   218
41.1000000          0.9792419       0.0207581       0.0025435   219
41.3333333          0.9824417       0.0175583       0.0031999   220
41.5666667          0.9850673       0.0149327       0.0026255   221
41.8000000          0.9867903       0.0132097       0.0017230   222
42.0333333          0.9889235       0.0110765       0.0021332   223
42.2666667          0.9911388       0.0088612       0.0022153   224
42.5000000          0.9931080       0.0068920       0.0019691   225
42.7333333          0.9942566       0.0057434       0.0011487   226
42.9666667          0.9954874       0.0045126       0.0012307   227
43.2000000          0.9966360       0.0033640       0.0011487   228
43.4333333          0.9978668       0.0021332       0.0012307   229
43.6666667          0.9989334       0.0010666       0.0010666   230
43.9000000          0.9993436       0.0006564       0.0004102   231
44.1333333          0.9998359       0.0001641       0.0004923   232
44.3666667          1.0000000       0.0000000       0.0001641   233
44.6000000          1.0000000       0.0000000       0.0000000   234
44.8333333          1.0000000       0.0000000       0.0000000   235
45.0666667          1.0000000       0.0000000       0.0000000   236
45.3000000          1.0000000       0.0000000       0.0000000   237
45.5333333          1.0000000       0.0000000       0.0000000   238
45.7666667          1.0000000       0.0000000       0.0000000   239
46.0000000          1.0000000       0.0000000       0.0000000   240
46.2333333          1.0000000       0.0000000       0.0000000   241
46.4666667          1.0000000       0.0000000       0.0000000   242
46.7000000          1.0000000       0.0000000       0.0000000   243
46.9333333          1.0000000       0.0000000       0.0000000   244
47.1666667          1.0000000       0.0000000       0.0000000   245
47.4000000          1.0000000       0.0000000       0.0000000   246
47.6333333          1.0000000       0.0000000       0.0000000   247
47.8666667          1.0000000       0.0000000       0.0000000   248
48.1000000          1.0000000       0.0000000       0.0000000   249
48.3333333          1.0000000       0.0000000       0.0000000   250
48.5666667          1.0000000       0.0000000       0.0000000   251
48.8000000          1.0000000       0.0000000       0.0000000   252
49.0333333          1.0000000       0.0000000       0.0000000   253
49.2666667          1.0000000       0.0000000       0.0000000   254
49.5000000          1.0000000       0.0000000       0.0000000   255
49.7333333          1.0000000       0.0000000       0.0000000   256
49.9666667          1.0000000       0.0000000       0.0000000   257
50.2000000          1.0000000       0.0000000       0.0000000   258
50.4333333          1.0000000       0.0000000       0.0000000   259
50.6666667          1.0000000       0.0000000       0.0000000   260
50.9000000          1.0000000       0.0000000       0.0000000   261
51.1333333          1.0000000       0.0000000       0.0000000   262
51.3666667          1.0000000       0.0000000       0.0000000   263
51.6000000          1.0000000       0.0000000       0.0000000   264
51.8333333          1.0000000       0.0000000       0.0000000   265
52.0666667          1.0000000       0.0000000       0.0000000   266
52.3000000          1.0000000       0.0000000       0.0000000   267
52.5333333          1.0000000       0.0000000       0.0000000   268
52.7666667          1.0000000       0.0000000       0.0000000   269
53.0000000          1.0000000       0.0000000       0.0000000   270
53.2333333          1.0000000       0.0000000       0.0000000   271
53.4666667          1.0000000       0.0000000       0.0000000   272
53.7000000          1.0000000       0.0000000       0.0000000   273
53.9333333          1.0000000       0.0000000       0.0000000   274
54.1666667          1.0000000       0.0000000       0.0000000   275
54.4000000          1.0000000       0.0000000       0.0000000   276
54.6333333          1.0000000       0.0000000       0.0000000   277
54.8666667          1.0000000       0.0000000       0.0000000   278
55.1000000          1.0000000       0.0000000       0.0000000   279
55.3333333          1.0000000       0.0000000       0.0000000   280
55.5666667          1.0000000       0.0000000       0.0000000   281
55.8000000          1.0000000       0.0000000       0.0000000   282
56.0333333          1.0000000       0.0000000       0.0000000   283
56.2666667          1.0000000       0.0000000       0.0000000   284
56.5000000          1.0000000       0.0000000       0.0000000   285
56.7333333          1.0000000       0.0000000       0.0000000   286
56.9666667          1.0000000       0.0000000       0.0000000   287
57.2000000          1.0000000       0.0000000       0.0000000   288
57.4333333          1.0000000       0.0000000       0.0000000   289
57.6666667          1.0000000       0.0000000       0.0000000   290
57.9000000          1.0000000       0.0000000       0.0000000   291
58.1333333          1.0000000       0.0000000       0.0000000   292
58.3666667          1.0000000       0.0000000       0.0000000   293
58.6000000          1.0000000       0.0000000       0.0000000   294
58.8333333          1.0000000       0.0000000       0.0000000   295
59.0666667          1.0000000       0.0000000       0.0000000   296
59.3000000          1.0000000       0.0000000       0.0000000   297
59.5333333          1.0000000       0.0000000       0.0000000   298
59.7666667          1.0000000       0.0000000       0.0000000   299
60.0000000          1.0000000       0.0000000       0.0000000   300
# -----------------------------------------------------------
